"interval_start_utc","interval_end_utc","market","location","location_type","lmp","energy","congestion","loss"
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","CLAMMNA_1_N001","Node",46.40493,46.29844,0,0.10649
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","CLAY_6_N001","Node",40.15376,46.29844,-7.11231,0.96764
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","CLAYTN_1_N004","Node",46.54845,46.29844,0,0.25001
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","CLOVIS_1_N001","Node",47.42812,46.29844,0,1.12968
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","CLOVRDLE_1_N001","Node",44.15019,46.29844,0,-2.14825
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","CMPEVRS_1_N001","Node",47.42349,46.29844,0,1.12505
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","COLNGA1_6_N001","Node",45.30302,46.29844,0,-0.99542
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","COLONY_6_N001","Node",29.39189,46.29844,-17.4575,0.55095
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","COLUSA_6_N001","Node",44.62707,46.29844,0,-1.67137
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","CONCHO_1_N002","Node",45.34932,46.29844,0,-0.94912
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","CONTADNA_1_N001","Node",46.68735,46.29844,0,0.38891
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","CONTROLX_1_N002","Node",37.14524,46.29844,0,-9.1532
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","CORNING_6_N004","Node",44.84467,46.29844,0,-1.45377
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","COTTLE_7_N001","Node",46.72439,46.29844,0,0.42595
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","CROCKTAP_2_B1","Node",46.48826,46.29844,0,0.18982
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","DALYCTY_1_N001","Node",47.66424,46.29844,0,1.3658
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","DELAMO_2_N001","Node",46.0901,46.29844,0,-0.20834
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","DELMAR_6_N010","Node",45.99287,46.29844,0,-0.30557
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","DELMNTE_1_N010","Node",45.60859,46.29844,0,-0.68985
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","DINUBA_6_N001","Node",48.05778,46.29844,0,1.75934
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","DIXON-J1_6_N101","Node",45.57618,46.29844,0,-0.72226
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","DOMTAR_1_N001","Node",46.03917,46.29844,0,-0.25927
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","DOSPALS_6_N001","Node",45.64563,46.29844,0,-0.65281
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","EDWARDS_1_N001","Node",44.52521,46.29844,0,-1.77323
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","EELRIVR_6_N001","Node",49.56711,46.29844,0,3.26867
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","ELCENTRO_2_N001","Node",45.88638,46.29844,0,-0.41206
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","ELCRRTO_1_N001","Node",47.0207,46.29844,0,0.72226
2024-12-06 13:00:00,2024-12-06 13:15:00,"REAL_TIME_15_MIN","ELLSGTY_1_N001","Node",46.00213,46.29844,0,-0.29631
